Run,Time,Living Students,Living Adults,Living Armed Adults,Living Unarmed Adults,Living Shooters,Dead Students,Dead Adults,Escaped Students
1,0.0,100,20,10,10,0,0,0,0
1,0.0,100,20,10,10,0,0,0,0
1,0.03,100,20,10,10,0,0,0,0
1,0.05,100,20,10,10,0,0,0,0
1,0.08,100,20,10,10,0,0,0,0
1,0.1,100,20,10,10,0,0,0,0
1,0.12,100,20,10,10,0,0,0,0
1,0.15,100,20,10,10,0,0,0,0
1,0.17,100,20,10,10,0,0,0,0
1,0.2,100,20,10,10,0,0,0,0
1,0.22,100,20,10,10,0,0,0,0
1,0.25,100,20,10,10,0,0,0,0
1,0.27,100,20,10,10,0,0,0,0
1,0.3,100,20,10,10,0,0,0,0
1,0.33,100,20,10,10,0,0,0,0
1,0.35,100,20,10,10,0,0,0,0
1,0.38,100,20,10,10,0,0,0,0
1,0.41,100,20,10,10,0,0,0,0
1,0.43,100,20,10,10,0,0,0,0
1,0.45,100,20,10,10,0,0,0,0
1,0.48,100,20,10,10,0,0,0,0
1,0.51,100,20,10,10,0,0,0,0
1,0.55,100,20,10,10,0,0,0,0
1,0.58,100,20,10,10,0,0,0,0
1,0.6,100,20,10,10,0,0,0,0
1,0.63,100,20,10,10,0,0,0,0
1,0.66,100,20,10,10,0,0,0,0
1,0.68,100,20,10,10,0,0,0,0
1,0.71,100,20,10,10,0,0,0,0
1,0.74,100,20,10,10,0,0,0,0
1,0.77,100,20,10,10,0,0,0,0
1,0.8,100,20,10,10,0,0,0,0
1,0.82,100,20,10,10,0,0,0,0
1,0.85,100,20,10,10,0,0,0,0
1,0.87,100,20,10,10,0,0,0,0
1,0.9,100,20,10,10,0,0,0,0
1,0.92,100,20,10,10,0,0,0,0
1,0.95,100,20,10,10,0,0,0,0
1,0.97,100,20,10,10,0,0,0,0
1,0.99,100,20,10,10,0,0,0,0
1,1.02,100,20,10,10,0,0,0,0
1,1.04,100,20,10,10,0,0,0,0
1,1.06,100,20,10,10,0,0,0,0
1,1.09,100,20,10,10,0,0,0,0
1,1.11,100,20,10,10,0,0,0,0
1,1.13,100,20,10,10,0,0,0,0
1,1.15,100,20,10,10,0,0,0,0
1,1.18,100,20,10,10,0,0,0,0
1,1.2,100,20,10,10,0,0,0,0
1,1.22,100,20,10,10,0,0,0,0
1,1.25,100,20,10,10,0,0,0,0
1,1.27,100,20,10,10,0,0,0,0
1,1.29,100,20,10,10,0,0,0,0
1,1.32,100,20,10,10,0,0,0,0
1,1.34,100,20,10,10,0,0,0,0
1,1.36,100,20,10,10,0,0,0,0
1,1.38,100,20,10,10,0,0,0,0
1,1.4,100,20,10,10,0,0,0,0
1,1.42,100,20,10,10,0,0,0,0
1,1.44,100,20,10,10,0,0,0,0
1,1.46,100,20,10,10,0,0,0,0
1,1.48,100,20,10,10,0,0,0,0
1,1.5,100,20,10,10,0,0,0,0
1,1.52,100,20,10,10,0,0,0,0
1,1.53,100,20,10,10,0,0,0,0
1,1.55,100,20,10,10,0,0,0,0
1,1.57,100,20,10,10,0,0,0,0
1,1.59,100,20,10,10,0,0,0,0
1,1.61,100,20,10,10,0,0,0,0
1,1.63,100,20,10,10,0,0,0,0
1,1.65,100,20,10,10,0,0,0,0
1,1.66,100,20,10,10,0,0,0,0
1,1.68,100,20,10,10,0,0,0,0
1,1.7,100,20,10,10,0,0,0,0
1,1.72,100,20,10,10,0,0,0,0
1,1.74,100,20,10,10,0,0,0,0
1,1.75,100,20,10,10,0,0,0,0
1,1.77,100,20,10,10,0,0,0,0
1,1.79,100,20,10,10,0,0,0,0
1,1.81,100,20,10,10,0,0,0,0
1,1.83,100,20,10,10,0,0,0,0
1,1.85,100,20,10,10,0,0,0,0
1,1.86,100,20,10,10,0,0,0,0
1,1.88,100,20,10,10,0,0,0,0
1,1.9,100,20,10,10,0,0,0,0
1,1.91,100,20,10,10,0,0,0,0
1,1.93,100,20,10,10,0,0,0,0
1,1.95,100,20,10,10,0,0,0,0
1,1.96,100,20,10,10,0,0,0,0
1,1.98,100,20,10,10,0,0,0,0
1,2.0,100,20,10,10,0,0,0,0
1,2.01,100,20,10,10,0,0,0,0
1,2.03,100,20,10,10,0,0,0,0
1,2.05,100,20,10,10,0,0,0,0
1,2.06,100,20,10,10,0,0,0,0
1,2.08,100,20,10,10,0,0,0,0
1,2.09,100,20,10,10,0,0,0,0
1,2.11,100,20,10,10,0,0,0,0
1,2.13,100,20,10,10,0,0,0,0
1,2.14,100,20,10,10,0,0,0,0
1,2.16,100,20,10,10,0,0,0,0
1,2.18,100,20,10,10,0,0,0,0
1,2.19,100,20,10,10,0,0,0,0
1,2.21,100,20,10,10,0,0,0,0
1,2.23,100,20,10,10,0,0,0,0
1,2.24,100,20,10,10,0,0,0,0
1,2.26,100,20,10,10,0,0,0,0
1,2.28,100,20,10,10,0,0,0,0
1,2.29,100,20,10,10,0,0,0,0
1,2.31,100,20,10,10,0,0,0,0
1,2.33,100,20,10,10,0,0,0,0
1,2.34,100,20,10,10,0,0,0,0
1,2.36,100,20,10,10,0,0,0,0
1,2.38,100,20,10,10,0,0,0,0
1,2.4,100,20,10,10,0,0,0,0
1,2.42,100,20,10,10,0,0,0,0
1,2.43,100,20,10,10,0,0,0,0
1,2.45,100,20,10,10,0,0,0,0
1,2.47,100,20,10,10,0,0,0,0
1,2.49,100,20,10,10,0,0,0,0
1,2.5,100,20,10,10,0,0,0,0
1,2.52,100,20,10,10,0,0,0,0
1,2.54,100,20,10,10,0,0,0,0
1,2.55,100,20,10,10,0,0,0,0
1,2.57,100,20,10,10,0,0,0,0
1,2.59,100,20,10,10,0,0,0,0
1,2.6,100,20,10,10,0,0,0,0
1,2.62,100,20,10,10,0,0,0,0
1,2.63,100,20,10,10,0,0,0,0
1,2.65,100,20,10,10,0,0,0,0
1,2.67,100,20,10,10,0,0,0,0
1,2.68,100,20,10,10,0,0,0,0
1,2.7,100,20,10,10,0,0,0,0
1,2.72,100,20,10,10,0,0,0,0
1,2.73,100,20,10,10,0,0,0,0
1,2.75,100,20,10,10,0,0,0,0
1,2.77,100,20,10,10,0,0,0,0
1,2.79,100,20,10,10,0,0,0,0
1,2.81,100,20,10,10,0,0,0,0
1,2.82,100,20,10,10,0,0,0,0
1,2.84,100,20,10,10,0,0,0,0
1,2.86,100,20,10,10,0,0,0,0
1,2.87,100,20,10,10,0,0,0,0
1,2.89,100,20,10,10,0,0,0,0
1,2.91,100,20,10,10,0,0,0,0
1,2.92,100,20,10,10,0,0,0,0
1,2.94,100,20,10,10,0,0,0,0
1,2.96,100,20,10,10,0,0,0,0
1,2.97,100,20,10,10,0,0,0,0
1,2.99,100,20,10,10,0,0,0,0
1,3.01,100,20,10,10,0,0,0,0
1,3.02,100,20,10,10,0,0,0,0
1,3.04,100,20,10,10,0,0,0,0
1,3.06,100,20,10,10,0,0,0,0
1,3.07,100,20,10,10,0,0,0,0
1,3.09,100,20,10,10,0,0,0,0
1,3.11,100,20,10,10,0,0,0,0
1,3.12,100,20,10,10,0,0,0,0
1,3.14,100,20,10,10,0,0,0,0
1,3.16,100,20,10,10,0,0,0,0
1,3.17,100,20,10,10,0,0,0,0
1,3.19,100,20,10,10,0,0,0,0
1,3.2,100,20,10,10,0,0,0,0
1,3.22,100,20,10,10,0,0,0,0
1,3.24,100,20,10,10,0,0,0,0
1,3.25,100,20,10,10,0,0,0,0
1,3.27,100,20,10,10,0,0,0,0
1,3.29,100,20,10,10,0,0,0,0
1,3.3,100,20,10,10,0,0,0,0
1,3.32,100,20,10,10,0,0,0,0
1,3.34,100,20,10,10,0,0,0,0
1,3.35,100,20,10,10,0,0,0,0
1,3.37,100,20,10,10,0,0,0,0
1,3.39,100,20,10,10,0,0,0,0
1,3.4,100,20,10,10,0,0,0,0
1,3.42,100,20,10,10,0,0,0,0
1,3.44,100,20,10,10,0,0,0,0
1,3.45,100,20,10,10,0,0,0,0
1,3.47,100,20,10,10,0,0,0,0
1,3.49,100,20,10,10,0,0,0,0
1,3.5,100,20,10,10,0,0,0,0
1,3.52,100,20,10,10,0,0,0,0
1,3.54,100,20,10,10,0,0,0,0
1,3.56,100,20,10,10,0,0,0,0
1,3.57,100,20,10,10,0,0,0,0
1,3.59,100,20,10,10,0,0,0,0
1,3.6,100,20,10,10,0,0,0,0
1,3.62,100,20,10,10,0,0,0,0
1,3.64,100,20,10,10,0,0,0,0
1,3.65,100,20,10,10,0,0,0,0
1,3.67,100,20,10,10,0,0,0,0
1,3.69,100,20,10,10,0,0,0,0
1,3.7,100,20,10,10,0,0,0,0
1,3.72,100,20,10,10,0,0,0,0
1,3.74,100,20,10,10,0,0,0,0
1,3.76,100,20,10,10,0,0,0,0
1,3.77,100,20,10,10,0,0,0,0
1,3.79,100,20,10,10,0,0,0,0
1,3.81,100,20,10,10,0,0,0,0
1,3.83,100,20,10,10,0,0,0,0
1,3.84,100,20,10,10,0,0,0,0
1,3.87,100,20,10,10,0,0,0,0
1,3.88,100,20,10,10,0,0,0,0
1,3.9,100,20,10,10,0,0,0,0
1,3.92,100,20,10,10,0,0,0,0
1,3.94,100,20,10,10,0,0,0,0
1,3.95,100,20,10,10,0,0,0,0
1,3.97,100,20,10,10,0,0,0,0
1,3.99,100,20,10,10,0,0,0,0
1,4.0,100,20,10,10,0,0,0,0
1,4.02,100,20,10,10,0,0,0,0
1,4.03,100,20,10,10,0,0,0,0
1,4.05,100,20,10,10,0,0,0,0
1,4.07,100,20,10,10,0,0,0,0
1,4.09,100,20,10,10,0,0,0,0
1,4.1,100,20,10,10,0,0,0,0
1,4.12,100,20,10,10,0,0,0,0
1,4.13,100,20,10,10,0,0,0,0
1,4.15,100,20,10,10,0,0,0,0
1,4.17,100,20,10,10,0,0,0,0
1,4.18,100,20,10,10,0,0,0,0
1,4.2,100,20,10,10,0,0,0,0
1,4.22,100,20,10,10,0,0,0,0
1,4.23,100,20,10,10,0,0,0,0
1,4.25,100,20,10,10,0,0,0,0
1,4.27,100,20,10,10,0,0,0,0
1,4.28,100,20,10,10,0,0,0,0
1,4.3,100,20,10,10,0,0,0,0
1,4.32,100,20,10,10,0,0,0,0
1,4.33,100,20,10,10,0,0,0,0
1,4.35,100,20,10,10,0,0,0,0
1,4.37,100,20,10,10,0,0,0,0
1,4.38,100,20,10,10,0,0,0,0
1,4.4,100,20,10,10,0,0,0,0
1,4.42,100,20,10,10,0,0,0,0
1,4.44,100,20,10,10,0,0,0,0
1,4.45,100,20,10,10,0,0,0,0
1,4.47,100,20,10,10,0,0,0,0
1,4.48,100,20,10,10,0,0,0,0
1,4.5,100,20,10,10,0,0,0,0
1,4.52,100,20,10,10,0,0,0,0
1,4.53,100,20,10,10,0,0,0,0
1,4.55,100,20,10,10,0,0,0,0
1,4.57,100,20,10,10,0,0,0,0
1,4.58,100,20,10,10,0,0,0,0
1,4.6,100,20,10,10,0,0,0,0
1,4.62,100,20,10,10,0,0,0,0
1,4.63,100,20,10,10,0,0,0,0
1,4.65,100,20,10,10,0,0,0,0
1,4.67,100,20,10,10,0,0,0,0
1,4.68,100,20,10,10,0,0,0,0
1,4.7,100,20,10,10,0,0,0,0
1,4.72,100,20,10,10,0,0,0,0
1,4.73,100,20,10,10,0,0,0,0
1,4.75,100,20,10,10,0,0,0,0
1,4.77,100,20,10,10,0,0,0,0
1,4.78,100,20,10,10,0,0,0,0
