Run,Time,Living Students,Living Adults,Living Armed Adults,Living Unarmed Adults,Living Shooters,Dead Students,Dead Adults,Escaped Students
1,1.0,208,15,0,15,0,0,0,0
1,2.0,208,15,0,15,0,0,0,0
1,2.9,208,15,0,15,0,0,0,0
1,3.73,208,15,0,15,0,0,0,0
1,4.59,208,15,0,15,0,0,0,0
1,5.45,207,15,0,15,1,1,0,0
1,6.45,205,15,0,15,1,1,0,2
1,7.45,205,15,0,15,1,1,0,2
1,8.45,205,15,0,15,1,1,0,2
1,9.45,205,15,0,15,1,1,0,2
1,10.45,201,15,0,15,1,1,0,6
1,11.45,199,15,0,15,1,2,0,7
1,12.45,195,15,0,15,1,2,0,11
1,13.45,194,15,0,15,1,2,0,12
1,14.3,188,15,0,15,1,2,0,18
1,15.1,184,15,0,15,1,2,0,22
1,16.1,179,15,0,15,1,3,0,26
1,16.82,179,15,0,15,1,3,0,26
1,17.63,176,15,0,15,1,3,0,29
1,18.45,169,15,0,15,1,3,0,36
1,19.25,165,15,0,15,1,3,0,40
1,20.25,160,15,0,15,1,3,0,45
1,20.94,156,15,0,15,1,3,0,49
1,21.63,150,15,0,15,1,3,0,55
1,22.38,147,14,0,14,1,3,1,58
1,23.11,145,14,0,14,1,3,1,60
1,23.79,142,14,0,14,1,3,1,63
1,24.44,136,14,0,14,1,3,1,69
1,25.17,132,14,0,14,1,3,1,73
1,25.89,130,14,0,14,1,3,1,75
1,26.54,126,14,0,14,1,3,1,79
1,27.16,123,14,0,14,1,3,1,82
1,27.82,122,14,0,14,1,3,1,83
1,28.82,119,14,0,14,1,3,1,86
1,29.37,114,14,0,14,1,3,1,91
1,30.83,106,14,0,14,1,3,1,99
1,31.35,101,14,0,14,1,3,1,104
1,31.93,98,14,0,14,1,3,1,107
1,32.55,94,14,0,14,1,3,1,111
1,33.05,88,14,0,14,1,3,1,117
1,33.92,77,14,0,14,1,3,1,128
1,34.81,66,13,0,13,1,3,2,139
1,35.6,60,13,0,13,1,3,2,145
1,36.38,56,13,0,13,1,3,2,149
1,37.12,49,13,0,13,1,3,2,156
1,37.96,41,13,0,13,1,4,2,163
1,38.52,39,13,0,13,1,4,2,165
1,39.04,35,13,0,13,1,4,2,169
1,39.78,30,13,0,13,1,4,2,174
1,40.28,27,13,0,13,1,5,2,176
1,40.98,25,13,0,13,1,5,2,178
1,41.64,23,13,0,13,1,5,2,180
1,42.23,21,13,0,13,1,5,2,182
1,42.81,18,13,0,13,1,5,2,185
1,43.33,16,13,0,13,1,5,2,187
1,43.84,16,13,0,13,1,5,2,187
1,44.35,15,13,0,13,1,5,2,188
1,45.01,15,13,0,13,1,5,2,188
1,45.66,14,13,0,13,1,5,2,189
1,46.3,12,13,0,13,1,5,2,191
1,46.92,11,13,0,13,1,5,2,192
1,47.52,10,13,0,13,1,5,2,193
1,48.1,10,13,0,13,1,5,2,193
1,48.67,9,13,0,13,1,5,2,194
1,49.18,9,13,0,13,1,5,2,194
1,49.81,9,13,0,13,1,5,2,194
1,50.37,9,13,0,13,1,5,2,194
1,50.95,8,13,0,13,1,5,2,195
1,51.49,8,13,0,13,1,5,2,195
1,52.02,8,13,0,13,1,5,2,195
1,52.54,8,13,0,13,1,5,2,195
1,53.06,8,13,0,13,1,5,2,195
1,53.58,8,13,0,13,1,5,2,195
1,54.08,8,13,0,13,1,5,2,195
1,54.69,8,13,0,13,1,5,2,195
1,55.26,8,13,0,13,1,5,2,195
1,55.77,8,13,0,13,1,5,2,195
1,56.28,8,13,0,13,1,5,2,195
1,56.78,8,13,0,13,1,5,2,195
1,57.28,8,13,0,13,1,5,2,195
1,57.81,8,13,0,13,1,5,2,195
1,58.33,8,13,0,13,1,5,2,195
1,58.84,8,13,0,13,1,5,2,195
1,59.34,8,13,0,13,1,5,2,195
1,59.93,8,13,0,13,1,5,2,195
1,60.49,8,13,0,13,1,5,2,195
1,61.05,8,13,0,13,1,5,2,195
1,61.66,8,13,0,13,1,5,2,195
1,62.17,8,13,0,13,1,5,2,195
1,62.7,8,13,0,13,1,5,2,195
1,63.2,8,13,0,13,1,5,2,195
1,63.82,8,13,0,13,1,5,2,195
1,64.32,8,13,0,13,1,5,2,195
1,64.82,8,13,0,13,1,5,2,195
1,65.34,8,13,0,13,1,5,2,195
1,65.48,8,13,0,13,1,5,2,195
2,1.0,208,15,0,15,0,0,0,0
2,2.0,208,15,0,15,0,0,0,0
2,2.73,208,15,0,15,0,0,0,0
2,3.46,208,15,0,15,0,0,0,0
2,4.28,208,15,0,15,0,0,0,0
2,5.28,206,15,0,15,1,1,0,1
2,6.28,206,15,0,15,1,1,0,1
2,7.28,205,15,0,15,1,2,0,1
2,8.28,205,15,0,15,1,2,0,1
2,9.28,204,15,0,15,1,2,0,2
2,10.28,203,15,0,15,1,2,0,3
2,11.14,200,15,0,15,1,2,0,6
2,12.14,197,15,0,15,1,3,0,8
2,13.14,195,15,0,15,1,3,0,10
2,14.14,193,15,0,15,1,3,0,12
2,15.01,189,15,0,15,1,3,0,16
2,16.01,187,15,0,15,1,4,0,17
2,16.79,182,15,0,15,1,4,0,22
2,17.62,181,15,0,15,1,4,0,23
2,18.46,177,15,0,15,1,4,0,27
2,19.28,173,15,0,15,1,5,0,30
2,20.11,171,15,0,15,1,5,0,32
2,20.93,169,15,0,15,1,5,0,34
2,21.75,166,15,0,15,1,5,0,37
2,22.54,161,15,0,15,1,5,0,42
2,23.32,156,15,0,15,1,6,0,46
2,24.08,148,15,0,15,1,6,0,54
2,24.8,146,15,0,15,1,6,0,56
2,25.52,138,15,0,15,1,6,0,64
2,26.18,136,15,0,15,1,6,0,66
2,26.86,125,15,0,15,1,6,0,77
