Run,Time,Living Students,Living Adults,Living Armed Adults,Living Unarmed Adults,Living Shooters,Dead Students,Dead Adults,Escaped Students
1,0.0,208,15,15,0,0,0,0,0
1,0.1,208,15,15,0,0,0,0,0
1,0.2,208,15,15,0,0,0,0,0
1,0.3,208,15,15,0,0,0,0,0
1,0.4,208,15,15,0,0,0,0,0
1,0.5,208,15,15,0,0,0,0,0
1,0.6,208,15,15,0,0,0,0,0
1,0.7,208,15,15,0,0,0,0,0
1,0.8,208,15,14,1,1,0,0,0
1,0.9,208,15,14,1,1,0,0,0
1,1.0,208,15,14,1,1,0,0,0
1,1.1,208,15,14,1,1,0,0,0
1,1.2,208,15,14,1,1,0,0,0
1,1.3,208,15,14,1,1,0,0,0
1,1.4,207,15,14,1,1,0,0,1
1,1.5,206,15,14,1,1,0,0,2
1,1.6,204,15,14,1,1,0,0,4
1,1.7,204,15,14,1,1,0,0,4
1,1.8,204,15,14,1,1,0,0,4
1,1.9,204,15,14,1,1,0,0,4
1,2.0,203,14,14,0,1,0,1,5
1,2.1,201,14,14,0,1,0,1,7
1,2.2,200,14,14,0,1,0,1,8
1,2.3,197,14,14,0,1,0,1,11
1,2.4,194,14,14,0,1,0,1,14
1,2.5,192,14,14,0,1,0,1,16
1,2.6,191,14,14,0,1,0,1,17
1,2.7,189,14,14,0,1,0,1,19
1,2.8,185,14,14,0,1,0,1,23
1,2.9,183,14,14,0,1,0,1,25
1,3.0,179,14,14,0,1,0,1,29
1,3.1,176,14,14,0,1,0,1,32
1,3.2,175,14,14,0,1,0,1,33
1,3.3,169,14,14,0,1,0,1,39
1,3.4,164,14,14,0,1,0,1,44
1,3.5,160,14,14,0,1,0,1,48
1,3.6,158,14,14,0,1,0,1,50
1,3.7,154,14,14,0,1,0,1,54
1,3.8,148,14,14,0,1,0,1,60
1,3.9,146,14,14,0,1,0,1,62
1,4.0,143,14,14,0,1,0,1,65
1,4.1,140,14,14,0,1,0,1,68
1,4.2,140,14,14,0,1,0,1,68
1,4.3,138,14,14,0,1,0,1,70
1,4.4,134,14,14,0,1,0,1,74
1,4.5,131,14,14,0,1,0,1,77
1,4.6,127,14,14,0,1,0,1,81
1,4.7,123,14,14,0,1,0,1,85
1,4.8,121,14,14,0,1,0,1,87
1,4.9,119,14,14,0,1,0,1,89
1,5.0,116,14,14,0,1,0,1,92
1,5.1,113,14,14,0,1,0,1,95
1,5.2,111,14,14,0,1,0,1,97
1,5.3,108,14,14,0,1,0,1,100
1,5.4,103,14,14,0,1,0,1,105
1,5.5,101,14,14,0,1,0,1,107
1,5.6,96,14,14,0,1,0,1,112
1,5.7,91,14,14,0,1,0,1,117
1,5.8,87,14,14,0,1,0,1,121
1,5.9,84,14,14,0,1,0,1,124
1,6.0,82,14,14,0,1,0,1,126
1,6.1,80,14,14,0,1,0,1,128
1,6.2,79,14,14,0,1,0,1,129
1,6.3,77,14,14,0,1,0,1,131
1,6.4,76,14,14,0,1,0,1,132
1,6.5,70,14,14,0,1,0,1,138
1,6.59,68,14,14,0,1,0,1,140
1,6.69,64,14,14,0,1,0,1,144
1,6.78,56,14,14,0,1,0,1,152
1,6.86,55,14,14,0,1,0,1,153
1,6.94,54,14,14,0,1,0,1,154
1,7.03,54,14,14,0,1,0,1,154
1,7.11,52,14,14,0,0,1,1,155
1,7.19,51,14,14,0,0,1,1,156
1,7.27,51,14,14,0,0,1,1,156
1,7.35,49,14,14,0,0,1,1,158
1,7.42,49,14,14,0,0,1,1,158
1,7.5,47,14,14,0,0,1,1,160
1,7.57,47,14,14,0,0,1,1,160
1,7.65,47,14,14,0,0,1,1,160
1,7.72,47,14,14,0,0,1,1,160
1,7.79,47,14,14,0,0,1,1,160
1,7.86,47,14,14,0,0,1,1,160
1,7.94,47,14,14,0,0,1,1,160
1,8.01,47,14,14,0,0,1,1,160
1,8.08,47,14,14,0,0,1,1,160
1,8.16,47,14,14,0,0,1,1,160
1,8.23,47,14,14,0,0,1,1,160
1,8.3,46,14,14,0,0,1,1,161
1,8.37,46,14,14,0,0,1,1,161
1,8.45,45,14,14,0,0,1,1,162
1,8.52,45,14,14,0,0,1,1,162
1,8.59,43,14,14,0,0,1,1,164
1,8.65,43,14,14,0,0,1,1,164
1,8.72,43,14,14,0,0,1,1,164
1,8.79,42,14,14,0,0,1,1,165
1,8.85,42,14,14,0,0,1,1,165
1,8.92,42,14,14,0,0,1,1,165
